"orderid","date","customerid","product","quantity","unitprice","shippingaddress","paymentmethod","orderstatus","trackingnumber","itemsincart","couponcode","referralsource","totalprice"
"ORD200006","2025-06-17","C83492","Laptop",1,664.42,"986 Main St","Gift Card","Returned","TRK96417362",6,"SAVE10","Facebook",664.42
"ORD200013","2023-08-30","C88348","Laptop",3,201.49,"903 Main St","Credit Card","Returned","TRK81913874",4,"FREESHIP","Facebook",604.47
"ORD200024","2024-10-30","C17470","Laptop",2,230.95,"956 Main St","Online","Delivered","TRK28775057",3,"WINTER15","Referral",461.90
"ORD200026","2024-03-06","C21944","Laptop",5,59.55,"296 Main St","Online","Delivered","TRK80276812",6,"No Coupon","Referral",297.75
"ORD200036","2025-05-08","C59337","Laptop",2,534.43,"465 Main St","Debit Card","Pending","TRK50961250",5,"No Coupon","Facebook",1068.86
"ORD200037","2024-10-14","C10054","Laptop",2,76.74,"409 Main St","Cash","Returned","TRK94005261",7,"SAVE10","Instagram",153.48
"ORD200038","2024-12-19","C15924","Laptop",1,245.89,"549 Main St","Debit Card","Delivered","TRK14835975",3,"SAVE10","Google",245.89
"ORD200076","2024-03-31","C58638","Laptop",4,382.88,"239 Main St","Cash","Cancelled","TRK38224871",6,"WINTER15","Email",1531.52
"ORD200083","2023-08-22","C15681","Laptop",4,540.41,"989 Main St","Credit Card","Cancelled","TRK75112172",6,"No Coupon","Referral",2161.64
"ORD200091","2023-03-15","C98216","Laptop",5,492.75,"196 Main St","Cash","Shipped","TRK40986666",6,"WINTER15","Referral",2463.75
"ORD200102","2023-03-08","C18037","Laptop",2,70.34,"944 Main St","Gift Card","Cancelled","TRK47362236",3,"FREESHIP","Email",140.68
"ORD200108","2024-12-28","C33099","Laptop",5,48.38,"522 Main St","Gift Card","Delivered","TRK28522330",9,"WINTER15","Email",241.90
"ORD200113","2024-01-17","C65905","Laptop",5,190.08,"605 Main St","Cash","Shipped","TRK73954365",9,"FREESHIP","Instagram",950.40
"ORD200122","2024-04-15","C96787","Laptop",2,533.02,"588 Main St","Gift Card","Shipped","TRK30422853",2,"No Coupon","Facebook",1066.04
"ORD200129","2023-10-27","C52751","Laptop",4,263.93,"427 Main St","Debit Card","Shipped","TRK72481234",4,"FREESHIP","Facebook",1055.72
"ORD200134","2025-06-23","C16253","Laptop",2,199.70,"583 Main St","Cash","Pending","TRK17354894",4,"No Coupon","Email",399.40
"ORD200136","2024-04-27","C73370","Laptop",1,44.35,"595 Main St","Gift Card","Cancelled","TRK67820278",1,"SAVE10","Instagram",44.35
"ORD200147","2025-05-06","C46316","Laptop",2,465.18,"893 Main St","Credit Card","Cancelled","TRK16196000",2,"SAVE10","Google",930.36
"ORD200149","2023-12-27","C39671","Laptop",1,217.56,"174 Main St","Debit Card","Delivered","TRK47153818",3,"No Coupon","Facebook",217.56
"ORD200179","2024-11-24","C27401","Laptop",3,539.91,"500 Main St","Credit Card","Delivered","TRK14332053",8,"No Coupon","Email",1619.73
"ORD200185","2025-02-02","C46877","Laptop",1,210.70,"572 Main St","Online","Shipped","TRK96935978",2,"WINTER15","Referral",210.70
"ORD200191","2025-03-08","C51494","Laptop",2,488.87,"505 Main St","Online","Cancelled","TRK58520306",4,"FREESHIP","Google",977.74
"ORD200197","2023-08-27","C80135","Laptop",5,221.51,"723 Main St","Cash","Returned","TRK95222269",5,"WINTER15","Referral",1107.55
"ORD200198","2024-06-11","C37594","Laptop",4,340.30,"926 Main St","Cash","Cancelled","TRK94405162",8,"SAVE10","Referral",1361.20
"ORD200204","2023-09-05","C99775","Laptop",4,413.71,"478 Main St","Gift Card","Cancelled","TRK21638425",9,"FREESHIP","Facebook",1654.84
"ORD200206","2024-04-16","C31072","Laptop",4,229.10,"729 Main St","Gift Card","Returned","TRK77172975",8,"WINTER15","Email",916.40
"ORD200213","2023-04-20","C71122","Laptop",1,634.40,"317 Main St","Cash","Cancelled","TRK54757882",6,"SAVE10","Email",634.40
